team,home_attack,home_defence,away_attack,away_defence,avg_home_scored,avg_home_conceded,avg_away_scored,avg_away_conceded
AFC Bournemouth,0.8754839315823986,0.9720956622549711,0.9865409225688841,1.0395839168973833,0.9863457356071599,1.3363619609724846,1.516166238127994,2.0
Arsenal FC,1.1741551109762232,0.8894087902946997,0.9574242286027773,0.9667389571967436,2.4801926627999786,0.5198073372000214,0.988394506631631,1.0427773437443564
Aston Villa FC,0.9193941533278632,1.0934504302163612,0.906560165264713,1.0470681306661018,0.5147353151465223,1.5147353151465224,1.0686216991123034,1.957699266229025
Brentford FC,1.142184702247887,0.8740082958093438,0.9865569258180831,0.981640104472962,2.3335889676530286,0.33320551617348565,1.516296309244837,1.516296309244837
Brighton & Hove Albion FC,1.1249779477327932,0.7881493990245269,1.2964428958791419,1.0312019021824992,2.646728700819917,0.33229431076632343,4.0349857153327795,1.930028569334441
Chelsea FC,1.12698698262049,1.133679252303697,1.0689641949704418,1.2048650945059656,2.9674073815103266,2.4837036907551635,1.2709309332073335,2.354160950554904
Coventry City FC,0.8,1.213085732094686,0.7872482732669517,0.9333088761459305,0.0,3.074756822063589,0.3574771918398488,1.261296482643818
Crystal Palace FC,0.9788599981065369,1.2627177163636116,0.9971526230689558,0.994135548414103,1.5184811600264352,3.4815188399735644,0.9966600476703843,1.2839598111102788
Everton FC,1.0382911550837173,0.9106598007722766,0.8593490779460968,0.8577848968685036,1.643650084635591,0.6677087020597496,0.48237709456310035,0.48237709456310035
Fulham FC,1.1611105736342289,1.230595164538097,0.9088979094663511,0.966572570771325,1.64308745856069,2.28617491712138,0.0,0.4837036907551632
Hull City AFC,0.9062803229994698,0.8,0.9515747244875481,0.9513444254415436,0.964494098359761,0.0,1.3369256879486415,1.371705141578253
Ipswich Town FC,0.9065554816048443,1.0037384984131275,1.002368308043055,1.1515870990742634,0.9669911631362574,1.5165044184318712,1.6396748720019871,2.5975355665274917
Leeds United FC,0.977727804894659,0.846684762638355,0.9230346105049838,0.8619914829030668,1.666778830414191,0.651808629597956,1.0,0.5174928576663897
Liverpool FC,1.0148029543774406,1.0150711337740426,1.0981220112539705,0.833570008437806,0.9647541891262007,0.9647541891262007,1.6421007108715386,0.6226095802853077
Manchester City FC,1.1142326457489942,1.017382815655352,1.1451139715365375,0.9053622300197066,2.74073817653445,1.3832499630200297,2.440577988399936,0.48019266279997863
Manchester United FC,1.140331522293451,1.0121951554644775,1.0159339862843575,1.0586128918968039,2.4125357116680517,1.4825071423336105,1.02417793423912,1.642373077707692
Newcastle United FC,1.0493988847881055,1.0919417741716537,0.9820765407173807,1.049224456993569,2.0,1.643607770461541,1.479880660978769,2.0804773560849235
Nottingham Forest FC,0.7272727272727273,0.849517726030646,1.1902660361599833,1.0099846163746586,0.0,0.6672723136460214,2.0,1.4823770945631003
Sunderland AFC,0.9915924809762794,0.9928961512580103,1.1349150174816267,1.1454016422436188,0.483443555163003,1.033112889673994,1.7160401888897214,2.741840267444454
Tottenham Hotspur FC,0.8320631756731955,1.034060135522938,0.8,0.973448163519857,0.6973805549559212,1.6745940184102936,0.0,1.44791157742151
